epoch,loss,accuracy
0,4.66754086409943,0.0113
0,4.66789791855631,0.0092
0,4.669638814805429,0.0101
0,4.670774314976946,0.01
1,4.51612334311763,0.0126
1,4.516186026078236,0.0132
1,4.517981668061848,0.0095
1,4.51791003987759,0.0122
1,4.516630003723917,0.0123
2,4.380064143410212,0.0697
2,4.376956752583951,0.074
2,4.377844641480265,0.072
2,4.379081297524368,0.0742
2,4.379309430907044,0.0751
3,4.271021812776976,0.2784
3,4.271959274630003,0.2767
3,4.270496990107283,0.2767
3,4.271274983128415,0.2736
3,4.271554029440578,0.2763
4,4.189861007883579,0.3676
4,4.191824864737595,0.3629
4,4.192527131189274,0.3611
4,4.191855321956586,0.3635
4,4.190430900718592,0.3656
5,4.133005299145663,0.413
5,4.134262652336797,0.4097
5,4.132906267914591,0.4137
5,4.135152267504342,0.4146
5,4.132844592951521,0.4162
6,4.095286948771417,0.4456
6,4.095259678514698,0.4414
6,4.095394955405706,0.4462
6,4.0949650716178025,0.4506
6,4.095595371874073,0.4407
7,4.068123660510099,0.4626
7,4.0679065124898015,0.4685
7,4.068802314468577,0.4556
7,4.069193133824988,0.4609
7,4.068902739995642,0.4567
8,4.046115274670758,0.4759
8,4.045536828946464,0.4783
8,4.046411909634554,0.4777
8,4.046158681941938,0.4727
8,4.0465028799032865,0.4758
9,4.029187670236902,0.4832
9,4.02972190893149,0.4834
9,4.0305900664269165,0.4846
9,4.028896675834173,0.4888
9,4.029492649850966,0.4875
10,4.013546201247204,0.491
10,4.01318947876556,0.4945
10,4.013537443136867,0.4915
10,4.012763874440253,0.4962
10,4.014402063587044,0.4794
